min,Album_Name,Album_Owner
17,Remembrance,Suicideyear
25,The Night's Gambit,Ka
25,Days With Dr. Yen Lo,Dr. Yen Lo
25,TSOL,Shad
28,Some Say I So I Say Light,Ghostpoet
30,Mic Tyson,Sean Price
34,Oâˆ†,London O'Connor
35,Reflection,Loraine James
35,Apollo Kids,Ghostface Killah
36,Little Dominiques Nosebleed,The Koreatown Oddity
36,The Greatest Story Never Told,Saigon
36,Back to the Woods,Angel Haze
37,Hey,Le1f
38,Sit Down, Man,Das Racist
38,Lese Majesty,Shabazz Palaces
39,Peanut Butter Blues and Melancholy Jam,Ghostpoet
40,Lizzobangers,Lizzo
40,May the Lord Watch,Little Brother
40,Black Up,Shabazz Palaces
40,4Eva N A Day,Big K.R.I.T.
